,Score,Accuracy,,Seq,Rows,Train Size,,,,,,,
258,-0.618510498,0.579555556,,1,"440,000",0.25,,,,,,,
259,-0.556587933,0.592888889,,1,"440,000",0.3,,,,,,,
260,-0.461302363,0.614666667,,1,"440,000",0.35,,,,,,,
261,-0.30562926,0.631111111,,1,"440,000",0.4,,,,,,,
262,-0.189212961,0.643111111,,1,"440,000",0.45,,,,,,,
263,-0.133303365,0.649333333,,1,"440,000",0.5,,,,,,,
264,-0.633992175,0.584222222,,1,"450,000",0.25,,,,,,,
265,-0.574275685,0.592444444,,1,"450,000",0.3,,,,,,,
266,-0.430217902,0.613777778,,1,"450,000",0.35,,,,,,,
267,-0.324020983,0.626666667,,1,"450,000",0.4,,,,,,,
268,-0.170275667,0.634888889,,1,"450,000",0.45,,,,,,,
269,-0.219377636,0.651333333,,1,"450,000",0.5,,,,,,,
270,-0.668796184,0.581333333,,1,"460,000",0.25,,,,,,,
271,-0.555054525,0.596222222,,1,"460,000",0.3,,,,,,,
272,-0.379031359,0.612444444,,1,"460,000",0.35,,,,,,,
273,-0.340165851,0.623111111,,1,"460,000",0.4,,,,,,,
274,-0.193825841,0.643555556,,1,"460,000",0.45,,,,,,,
275,-0.191272629,0.651777778,,1,"460,000",0.5,,,,,,,
276,-0.606286852,0.585333333,,1,"470,000",0.25,,,,,,,
277,-0.479829134,0.597555556,,1,"470,000",0.3,,,,,,,
278,-0.438280717,0.608666667,,1,"470,000",0.35,,,,,,,
279,-0.292387676,0.631111111,,1,"470,000",0.4,,,,,,,
280,-0.203343562,0.640888889,,1,"470,000",0.45,,,,,,,
281,-0.206783197,0.654888889,,1,"470,000",0.5,,,,,,,
282,-0.657356431,0.580666667,,1,"480,000",0.25,,,,,,,
283,-0.573318084,0.592,,1,"480,000",0.3,,,,,,,
284,-0.426065978,0.61,,1,"480,000",0.35,,,,,,,
285,-0.339334699,0.627333333,,1,"480,000",0.4,,,,,,,
286,-0.171698291,0.644,,1,"480,000",0.45,,,,,,,
287,-0.195689343,0.650222222,,1,"480,000",0.5,,,,,,,
288,-0.619409243,0.581555556,,1,"490,000",0.25,,,,,,,
289,-0.473356078,0.592444444,,1,"490,000",0.3,,,,,,,
290,-0.368416181,0.611333333,,1,"490,000",0.35,,,,,,,
291,-0.324219354,0.624,,1,"490,000",0.4,,,,,,,
292,-0.171940829,0.642888889,,1,"490,000",0.45,,,,,,,
293,-0.169992984,0.652444444,,1,"490,000",0.5,,,,,,,
294,-0.631329423,0.58,,1,"500,000",0.25,,,,,,,
295,-0.53741225,0.588222222,,1,"500,000",0.3,,,,,,,
296,-0.417126844,0.605111111,,1,"500,000",0.35,,,,,,,
297,-0.32179484,0.628,,1,"500,000",0.4,,,,,,,
298,-0.208447591,0.646888889,,1,"500,000",0.45,,,,,,,
299,-0.193417043,0.654444444,,1,"500,000",0.5,,,,,,,
300,-0.64767755,0.581111111,,1,"510,000",0.25,,,,,,,
301,-0.554350656,0.589111111,,1,"510,000",0.3,,,,,,,
302,-0.469657852,0.611777778,,1,"510,000",0.35,,,,,,,
303,-0.330476827,0.632,,1,"510,000",0.4,,,,,,,
304,-0.159862365,0.64,,1,"510,000",0.45,,,,,,,
305,-0.168015868,0.651777778,,1,"510,000",0.5,,,,,,,
306,-0.618517939,0.586888889,,1,"520,000",0.25,,,,,,,
307,-0.504625387,0.589555556,,1,"520,000",0.3,,,,,,,
308,-0.377308181,0.609777778,,1,"520,000",0.35,,,,,,,
309,-0.351724691,0.631777778,,1,"520,000",0.4,,,,,,,
310,-0.196903609,0.641555556,,1,"520,000",0.45,,,,,,,
311,-0.200548478,0.650444444,,1,"520,000",0.5,,,,,,,
312,-0.609521941,0.580444444,,1,"530,000",0.25,,,,,,,
313,-0.447956525,0.590444444,,1,"530,000",0.3,,,,,,,
314,-0.409900171,0.614666667,,1,"530,000",0.35,,,,,,,
315,-0.309810227,0.628888889,,1,"530,000",0.4,,,,,,,
316,-0.149152134,0.648444444,,1,"530,000",0.45,,,,,,,
317,-0.178992946,0.652444444,,1,"530,000",0.5,,,,,,,
318,-0.685347604,0.577333333,,1,"540,000",0.25,,,,,,,
319,-0.480729866,0.591777778,,1,"540,000",0.3,,,,,,,
320,-0.392885504,0.607555556,,1,"540,000",0.35,,,,,,,
321,-0.304361997,0.633111111,,1,"540,000",0.4,,,,,,,
322,-0.177553334,0.638888889,,1,"540,000",0.45,,,,,,,
323,-0.190488651,0.647777778,,1,"540,000",0.5,,,,,,,
324,-0.638892312,0.581333333,,1,"550,000",0.25,,,,,,,
325,-0.497594708,0.590666667,,1,"550,000",0.3,,,,,,,
326,-0.395878031,0.612444444,,1,"550,000",0.35,,,,,,,
327,-0.335570447,0.628666667,,1,"550,000",0.4,,,,,,,
328,-0.213536998,0.642666667,,1,"550,000",0.45,,,,,,,
329,-0.186325016,0.653555556,,1,"550,000",0.5,,,,,,,
330,-0.627937822,0.582222222,,1,"560,000",0.25,,,,,,,
331,-0.543446651,0.592444444,,1,"560,000",0.3,,,,,,,
332,-0.449345167,0.613333333,,1,"560,000",0.35,,,,,,,
333,-0.292490504,0.632666667,,1,"560,000",0.4,,,,,,,
334,-0.172218496,0.640444444,,1,"560,000",0.45,,,,,,,
335,-0.232183729,0.651777778,,1,"560,000",0.5,,,,,,,
336,-0.591483475,0.584444444,,1,"570,000",0.25,,,,,,,
337,-0.497985479,0.583333333,,1,"570,000",0.3,,,,,,,
338,-0.455506734,0.611111111,,1,"570,000",0.35,,,,,,,
339,-0.36062851,0.623111111,,1,"570,000",0.4,,,,,,,
340,-0.174196993,0.639111111,,1,"570,000",0.45,,,,,,,
341,-0.160041996,0.648,,1,"570,000",0.5,,,,,,,
342,-0.663488268,0.581111111,,1,"580,000",0.25,,,,,,,
343,-0.527916928,0.591333333,,1,"580,000",0.3,,,,,,,
344,-0.387202731,0.605777778,,1,"580,000",0.35,,,,,,,
345,-0.36106485,0.626888889,,1,"580,000",0.4,,,,,,,
346,-0.169814722,0.647333333,,1,"580,000",0.45,,,,,,,
347,-0.179092989,0.655777778,,1,"580,000",0.5,,,,,,,
348,-0.582480615,0.584666667,,1,"590,000",0.25,,,,,,,
349,-0.484938357,0.590666667,,1,"590,000",0.3,,,,,,,
350,-0.43393256,0.608444444,,1,"590,000",0.35,,,,,,,
351,-0.373166517,0.623111111,,1,"590,000",0.4,,,,,,,
352,-0.17448901,0.646888889,,1,"590,000",0.45,,,,,,,
353,-0.194006656,0.650222222,,1,"590,000",0.5,,,,,,,
354,-0.54586692,0.577111111,,1,"600,000",0.25,,,,,,,
355,-0.530731969,0.590666667,,1,"600,000",0.3,,,,,,,
356,-0.376725053,0.611333333,,1,"600,000",0.35,,,,,,,
357,-0.389155605,0.624888889,,1,"600,000",0.4,,,,,,,
358,-0.19152199,0.641777778,,1,"600,000",0.45,,,,,,,
359,-0.200858152,0.649333333,,1,"600,000",0.5,,,,,,,
360,-0.60089951,0.586666667,,1,"610,000",0.25,,,,,,,
361,-0.514215786,0.585777778,,1,"610,000",0.3,,,,,,,
362,-0.403454383,0.615333333,,1,"610,000",0.35,,,,,,,
363,-0.303372749,0.629777778,,1,"610,000",0.4,,,,,,,
364,-0.182084224,0.64,,1,"610,000",0.45,,,,,,,
365,-0.217152948,0.650888889,,1,"610,000",0.5,,,,,,,
366,-0.610449331,0.589111111,,1,"620,000",0.25,,,,,,,
367,-0.512252672,0.593333333,,1,"620,000",0.3,,,,,,,
368,-0.408091014,0.612444444,,1,"620,000",0.35,,,,,,,
369,-0.309833903,0.629111111,,1,"620,000",0.4,,,,,,,
370,-0.177286759,0.641333333,,1,"620,000",0.45,,,,,,,
371,-0.227607459,0.65,,1,"620,000",0.5,,,,,,,
372,-0.612049537,0.587333333,,1,"630,000",0.25,,,,,,,
373,-0.503645046,0.591555556,,1,"630,000",0.3,,,,,,,
374,-0.432757387,0.610888889,,1,"630,000",0.35,,,,,,,
375,-0.356610971,0.630222222,,1,"630,000",0.4,,,,,,,
376,-0.223318019,0.641111111,,1,"630,000",0.45,,,,,,,
377,-0.193685862,0.654222222,,1,"630,000",0.5,,,,,,,
378,-0.583617655,0.582666667,,1,"640,000",0.25,,,,,,,
379,-0.580365899,0.595777778,,1,"640,000",0.3,,,,,,,
380,-0.425989668,0.608444444,,1,"640,000",0.35,,,,,,,
381,-0.342003946,0.626888889,,1,"640,000",0.4,,,,,,,
382,-0.146476335,0.646,,1,"640,000",0.45,,,,,,,
383,-0.180743144,0.654444444,,1,"640,000",0.5,,,,,,,
384,-0.630097033,0.580888889,,1,"650,000",0.25,,,,,,,
385,-0.484865981,0.593111111,,1,"650,000",0.3,,,,,,,
386,-0.461134565,0.612,,1,"650,000",0.35,,,,,,,
387,-0.335000023,0.627555556,,1,"650,000",0.4,,,,,,,
388,-0.229822958,0.635333333,,1,"650,000",0.45,,,,,,,
389,-0.19671115,0.649333333,,1,"650,000",0.5,,,,,,,
390,-0.630060518,0.589333333,,1,"660,000",0.25,,,,,,,
391,-0.490108367,0.594666667,,1,"660,000",0.3,,,,,,,
392,-0.451628437,0.614,,1,"660,000",0.35,,,,,,,
393,-0.318005607,0.626,,1,"660,000",0.4,,,,,,,
394,-0.196276894,0.642444444,,1,"660,000",0.45,,,,,,,
395,-0.170284281,0.653333333,,1,"660,000",0.5,,,,,,,
396,-0.62602429,0.584,,1,"670,000",0.25,,,,,,,
397,-0.52266401,0.588666667,,1,"670,000",0.3,,,,,,,
398,-0.395530657,0.604888889,,1,"670,000",0.35,,,,,,,
399,-0.32877152,0.624888889,,1,"670,000",0.4,,,,,,,
400,-0.214840743,0.644222222,,1,"670,000",0.45,,,,,,,
401,-0.17721555,0.652666667,,1,"670,000",0.5,,,,,,,
402,-0.655635974,0.585555556,,1,"680,000",0.25,,,,,,,
403,-0.523576914,0.592222222,,1,"680,000",0.3,,,,,,,
404,-0.445315712,0.613333333,,1,"680,000",0.35,,,,,,,
405,-0.345809612,0.626888889,,1,"680,000",0.4,,,,,,,
406,-0.177525089,0.641777778,,1,"680,000",0.45,,,,,,,
407,-0.202919999,0.654444444,,1,"680,000",0.5,,,,,,,
408,-0.594294388,0.589777778,,1,"690,000",0.25,,,,,,,
409,-0.493333894,0.594,,1,"690,000",0.3,,,,,,,
